Compound_Name,Plant_Name,Common_Name,Plant_Family,Plant_Part,Country_of_Use,PubChem_CID,Canonical_SMILES,Molecular_Formula,Reported_Activity,Assay_Target,DOI_Reference,Reference_Year,Compound_ID,Compound_Class,Data_Source,Notes,MW,LogP,HBD,HBA,TPSA,Rotatable_Bonds,Heavy_Atom_Count,Aromatic_Rings,Fraction_CSP3,QED_Score,Lipinski_Violations,Lipinski_Compliant,Veber_Compliant,Ghose_Compliant,PC1,PC2
"6,8-Dimethylchrysin",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,10401497,CC1=C(C(=C2C(=C1O)C(=O)C=C(O2)C3=CC=CC=C3)C)O,C17H14O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_213,Flavone,Isolation (Extraction),Leaf isolate.,282.3,3.49,2.0,4.0,70.67,1.0,21.0,3.0,0.118,0.716,0.0,True,True,True,-1.095586172441154,-0.18287247091010256
Strobochrysin,Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,11536318,CC1=C(C2=C(C=C1O)OC(=CC2=O)C3=CC=CC=C3)O,C16H12O4,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_214,Flavanone,Isolation (Extraction),Leaf isolate.,268.27,3.18,2.0,4.0,70.67,1.0,20.0,3.0,0.062,0.711,0.0,True,True,True,-1.0938728078710767,-0.28002279692327997
"3,5,7-Trihydroxy-6-methylflavanone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,129686572,CC1=C(C2=C(C=C1O)OC(C(C2=O)O)C3=CC=CC=C3)O,C16H14O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_215,Flavanone,Isolation (Extraction),Leaf isolate.,286.28,2.08,3.0,5.0,86.99,1.0,21.0,2.0,0.188,0.747,0.0,True,True,True,-0.5713716230371918,-0.529783865055719
"3,5,7-Trihydroxy-6-methoxyflavanone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,12305752,COC1=C(C2=C(C=C1O)OC(C(C2=O)O)C3=CC=CC=C3)O,C16H14O6,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_216,Flavanone,Isolation (Extraction),Leaf isolate.,302.28,1.78,3.0,6.0,96.22,2.0,22.0,2.0,0.188,0.782,0.0,True,True,True,-0.31168946900482475,-0.4084567193919774
"3,7-Dihydroxy-6-methoxyflavanone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,129650648,COC1=C(C=C2C(=C1)C(=O)C(C(O2)C3=CC=CC=C3)O)O,C16H14O5,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_217,Flavanone,Isolation (Extraction),Leaf isolate.,286.28,2.08,2.0,5.0,75.99,2.0,21.0,2.0,0.188,0.884,0.0,True,True,True,-0.7571505630569774,-0.33293457356143125
"3,5,7-Trihydroxy-6-methyl-3',4'-methylenedioxyflavone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_218,Flavone,Isolation (Extraction),Leaf isolate.,,,,,,,,,,,,,,,,
"5,7-Dihydroxy-3-methoxy-6-methyl-3',4'-methylenedioxyflavone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_219,Flavone,Isolation (Extraction),Leaf isolate.,,,,,,,,,,,,,,,,
"3,5,7-Trihydroxy-6-methoxy-3',4'-methylenedioxyflavone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_220,Flavone,Isolation (Extraction),Leaf isolate.,,,,,,,,,,,,,,,,
"(2S,3S)-3,7-Dihydroxy-6-methoxy-3',4'-methylenedioxyflavanone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_221,Flavanone,Isolation (Extraction),Leaf isolate.,,,,,,,,,,,,,,,,
"4',5,7-Trihydroxy-3,3',8-trimethoxy-6-methylflavone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_222,Flavone,Isolation (Extraction),Leaf isolate.,,,,,,,,,,,,,,,,
"(2R)-7-Hydroxy-2,8-dimethoxyflavanone",Dracaena steudneri,Dragon tree,Asparagaceae,"Leaves, fruits",Kenya,None,,,Antidiabetic,Metabolic targets,10.3390/molecules28207202,2023,AFRO11_223,Flavanone,Isolation (Extraction),Leaf isolate.,,,,,,,,,,,,,,,,
